Year,Gold Price ( Rs per kg.)
2023-24   ,52684
2022-23   ,46606
2021-22   ,43582
2020-21   ,43541
2019-20   ,33347
2018-19   ,28380
2017-18   ,26619
2016-17   ,27116
2015-16   ,24232
2014-15   ,24520
2013-14   ,25739
2012-13   ,28919
2011-12   ,25394
2010-11   ,18937
2009-10   ,15570
2008-09   ,12817
2007-08   ,9897
2006-07   ,9138
2005-06   ,6790
2004-05   ,5976
2003-04   ,5574
2002-03   ,5062
2001-02   ,4260
2000-01   ,4008
1999-00   ,3897
1998-99   ,3952
1997-98   ,3776
1996-97   ,4286
1995-96   ,4189
1994-95   ,3864
1993-94   ,3766
1992-93   ,3333
1991-92   ,2841
1990-91   ,2164
1989-90   ,2063
1988-89   ,1960
1987-88   ,1913
1986-87   ,1577
1985-86   ,1290
1984-85   ,1294
1983-84   ,1342
1982-83   ,1250
1981-82   ,1210
1980-81   ,1485
1979-80   ,1053
1978-79   ,550
1977-78   ,434
1976-77   ,370
1975-76   ,416
1974-75   ,425
1973-74   ,291
1972-73   ,160
1971-72   ,103
1970-71   ,89
